,datetime,latitude,longitude,temperature
1047520,2021-01-01 17:15:00,38.586,-77.711,2.5
766714,2021-01-01 17:16:00,38.717,-77.183,2.0
909268,2021-01-01 17:28:00,38.717,-77.183,2.0
484798,2021-01-01 17:32:00,38.847,-77.035,2.8
663825,2021-01-01 17:35:00,38.527,-77.859,2.5
522745,2021-01-01 17:35:00,38.398,-77.456,2.7
744574,2021-01-01 17:35:00,38.267,-77.449,3.0
1128674,2021-01-01 17:35:00,38.586,-77.711,2.3
753369,2021-01-01 17:35:00,38.01,-77.97,1.7
1181544,2021-01-01 17:44:00,38.721,-77.515,2.0
205855,2021-01-01 17:46:00,38.935,-77.447,2.0
512688,2021-01-01 17:52:00,38.935,-77.447,1.7
1224248,2021-01-01 17:52:00,38.847,-77.035,2.8
1204046,2021-01-01 17:54:00,38.504,-77.305,3.0
1125754,2021-01-01 17:55:00,38.398,-77.456,2.6
126838,2021-01-01 17:55:00,38.01,-77.97,1.8
838238,2021-01-01 17:55:00,38.527,-77.859,2.1
716273,2021-01-01 17:55:00,38.267,-77.449,3.0
1125163,2021-01-01 17:55:00,38.586,-77.711,2.3
276109,2021-01-01 17:56:00,38.721,-77.515,2.2
798984,2021-01-01 17:56:00,38.717,-77.183,2.4
224260,2021-01-01 17:56:00,38.504,-77.305,3.3
204812,2021-01-01 18:00:00,38.95,-77.45,1.7
1355540,2021-01-01 18:00:00,38.87,-77.02,2.7
181187,2021-01-01 18:00:00,38.85,-77.033,2.8
1112624,2021-01-01 18:05:00,38.717,-77.183,3.0
225900,2021-01-01 18:13:00,38.504,-77.305,3.3
1133347,2021-01-01 18:15:00,38.586,-77.711,2.5
748830,2021-01-01 18:15:00,38.01,-77.97,1.8
121771,2021-01-01 18:15:00,38.267,-77.449,2.8
1044406,2021-01-01 18:15:00,38.398,-77.456,2.6
1148366,2021-01-01 18:15:00,38.527,-77.859,2.1
1104101,2021-01-01 18:20:00,38.504,-77.305,3.3
1026141,2021-01-01 18:30:00,38.504,-77.305,3.3
1254045,2021-01-01 18:30:00,38.717,-77.183,2.0
1256385,2021-01-01 18:32:00,38.717,-77.183,2.0
527219,2021-01-01 18:35:00,38.586,-77.711,2.4
716765,2021-01-01 18:35:00,38.267,-77.449,3.1
522179,2021-01-01 18:35:00,38.01,-77.97,1.8
105504,2021-01-01 18:35:00,38.398,-77.456,2.6
663751,2021-01-01 18:35:00,38.527,-77.859,2.3
766679,2021-01-01 18:37:00,38.717,-77.183,2.0
1203513,2021-01-01 18:39:00,38.504,-77.305,3.3
207557,2021-01-01 18:45:00,38.717,-77.183,3.0
1204206,2021-01-01 18:46:00,38.504,-77.305,3.3
737022,2021-01-01 18:47:00,38.847,-77.035,3.0
1082746,2021-01-01 18:52:00,38.847,-77.035,2.8
204997,2021-01-01 18:52:00,38.935,-77.447,1.7
1103437,2021-01-01 18:54:00,38.504,-77.305,3.0
529646,2021-01-01 18:55:00,38.586,-77.711,2.4
125872,2021-01-01 18:55:00,38.01,-77.97,1.8
116745,2021-01-01 18:55:00,38.267,-77.449,3.0
105538,2021-01-01 18:55:00,38.398,-77.456,2.6
1353947,2021-01-01 18:55:00,38.527,-77.859,2.2
1025391,2021-01-01 18:56:00,38.504,-77.305,3.3
207956,2021-01-01 18:56:00,38.717,-77.183,2.5
276756,2021-01-01 18:56:00,38.721,-77.515,2.2
372636,2021-01-01 19:00:00,38.87,-77.02,2.9
796456,2021-01-01 19:04:00,38.717,-77.183,3.0
909406,2021-01-01 19:09:00,38.717,-77.183,3.0
1227900,2021-01-01 19:10:00,38.847,-77.035,2.8
1126643,2021-01-01 19:15:00,38.586,-77.711,2.5
1127846,2021-01-01 19:15:00,38.398,-77.456,2.6
101981,2021-01-01 19:15:00,38.527,-77.859,2.2
744523,2021-01-01 19:15:00,38.267,-77.449,3.0
122722,2021-01-01 19:15:00,38.01,-77.97,1.6
1226167,2021-01-01 19:20:00,38.847,-77.035,2.8
202168,2021-01-01 19:21:00,38.935,-77.447,1.7
224678,2021-01-01 19:22:00,38.504,-77.305,3.3
1083485,2021-01-01 19:23:00,38.847,-77.035,2.8
1253758,2021-01-01 19:24:00,38.717,-77.183,3.0
1124481,2021-01-01 19:35:00,38.586,-77.711,2.3
107644,2021-01-01 19:35:00,38.398,-77.456,2.6
1354491,2021-01-01 19:35:00,38.527,-77.859,2.1
116927,2021-01-01 19:35:00,38.267,-77.449,2.8
123585,2021-01-01 19:35:00,38.01,-77.97,1.1
485694,2021-01-01 19:37:00,38.847,-77.035,2.8
178975,2021-01-01 19:52:00,38.847,-77.035,2.8
1323581,2021-01-01 19:52:00,38.935,-77.447,1.7
99577,2021-01-01 19:55:00,38.527,-77.859,2.0
1123779,2021-01-01 19:55:00,38.398,-77.456,2.5
109032,2021-01-01 19:55:00,38.586,-77.711,2.0
120554,2021-01-01 19:55:00,38.267,-77.449,2.5
1353382,2021-01-01 19:55:00,38.01,-77.97,0.8
944487,2021-01-01 19:56:00,38.721,-77.515,2.2
208847,2021-01-01 19:56:00,38.717,-77.183,2.8
224295,2021-01-01 19:56:00,38.504,-77.305,3.3
724997,2021-01-01 20:00:00,38.87,-77.02,2.9
799120,2021-01-01 20:02:00,38.717,-77.183,3.0
204069,2021-01-01 20:05:00,38.935,-77.447,1.7
1112471,2021-01-01 20:07:00,38.717,-77.183,3.0
202026,2021-01-01 20:09:00,38.935,-77.447,1.7
224992,2021-01-01 20:10:00,38.504,-77.305,2.8
484900,2021-01-01 20:14:00,38.847,-77.035,3.3
474402,2021-01-01 20:14:00,38.721,-77.515,2.0
